timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
755000,751000,0,nan,nan,-3.6365673e-08,-2.9792614e-07,-2.1682922e-07,0.0,0.0,0.0,-6.947467e-05,-0.00019075189,-0.00016159359,-0.00015812242,6.113176e-05,4.9805683e-05,0.0,-0.033379834,-0.062138844,-0.049018297,0.120600015,0.1205883,nan,0.10000418,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
763000,763000,0,nan,nan,-4.6608416e-06,-5.2962355e-06,-8.3423885e-07,0.0,0.0,0.0,-0.00041913107,-0.00069379585,-2.2857785e-06,5.147849e-06,6.113176e-05,4.9805683e-05,0.0,0.028891841,-0.049355343,-0.003554858,0.12061536,0.1205883,nan,0.10001359,0.7097526,3.5000114,7.0710897,0.450045,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
848000,848000,0,nan,nan,-5.677859e-05,-0.00010494356,0.004527233,0.0,0.0,0.0,-0.00023374862,-0.0016684725,0.0017956453,0.00619949,6.113176e-05,4.9805683e-05,0.0,0.019716073,0.015511156,-0.046716068,0.12050214,0.1205883,nan,0.11917923,0.90485996,2.4750466,7.0723715,0.45047757,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
944000,944000,0,nan,nan,-0.00016981657,-0.00029695831,0.009972513,0.0,0.0,0.0,-0.0020950036,-0.0031546245,3.3304605e-05,0.009304034,6.113176e-05,4.9805683e-05,0.0,-0.02808043,-0.048106387,0.010833143,0.12058278,0.1205883,nan,0.10894292,1.333852,1.7505512,7.076272,0.45147198,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1049000,1049000,0,nan,nan,-0.00040091408,-0.0007439316,0.014420716,0.0,0.0,0.0,-0.0028698293,-0.0046741813,-0.00071810465,0.012135794,6.113176e-05,4.9805683e-05,0.0,0.013179076,0.048743326,0.016698986,0.12038467,0.1205883,nan,0.11226657,0.89856607,1.430332,4.5335236,0.45321235,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1157000,1157000,0,nan,nan,-0.00060375,-0.0011847098,0.015075414,0.0,0.0,0.0,-0.002083893,-0.0032573682,0.0004877859,0.012844164,6.113176e-05,4.9805683e-05,0.0,0.08366161,0.03575082,-0.06474461,0.12054222,0.1205883,nan,0.1,0.14053638,1.2404153,1.8792034,0.45557663,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1253000,1253000,0,nan,nan,-0.0006568657,-0.0013790588,0.014383668,0.0,0.0,0.0,-0.0013467084,-0.005788492,-0.0020789786,0.00886048,6.113176e-05,4.9805683e-05,0.0,0.00361257,-0.053985514,-0.062211413,0.12053033,0.1205883,nan,0.1,0.23035651,1.1115237,1.9053831,0.45811573,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1349000,1349000,0,nan,nan,-0.00073380413,-0.0018070957,0.01392983,0.0,0.0,0.0,-0.0015353302,-0.006433707,0.00018599948,0.009891197,6.113176e-05,4.9805683e-05,0.0,0.040089007,0.03340508,0.03942195,0.12059527,0.1205883,nan,0.1,0.3653504,1.0173261,1.9434258,0.4610337,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1458000,1458000,0,nan,nan,-0.00074950885,-0.002028724,0.012400064,0.0,0.0,0.0,-0.003044742,-0.0058583613,0.0030668566,0.010129756,6.113176e-05,4.9805683e-05,0.0,-0.05796,0.009318726,0.037102956,0.12056518,0.1205883,nan,0.1,0.19256742,0.945864,1.0075728,0.46482655,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1551000,1551000,0,nan,nan,-0.00087406056,-0.002138306,0.011052966,0.0,0.0,0.0,-0.0031694917,-0.0056218696,0.0011965116,0.005976688,6.113176e-05,4.9805683e-05,0.0,-0.003748041,-0.01219862,-0.058676302,0.1203339,0.1205883,nan,0.1,0.2751456,0.88985354,1.0949012,0.469061,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
