timestamp,accel_device_id,gyro_device_id
77000,1310988,1310988
755000,1310988,1310988
18111000,1310996,1310996
20115000,1310996,1310996
24363000,1311004,1311004
25374000,1310988,1310988
25712000,1311004,1311004
28626000,1310996,1310996
30149000,1311004,1311004
30678000,1310996,1310996
30691000,1311004,1311004
30778000,1310996,1310996
30822000,1311004,1311004
30849000,1310996,1310996
30947000,1311004,1311004
31014000,1310996,1310996
31035000,1310996,1310996
31144000,1311004,1311004
31213000,1310996,1310996
31390000,1310988,1310988
31399000,1310988,1310988
31853000,1311004,1311004
33009000,1310996,1310996
33020000,1311004,1311004
33597000,1310988,1310988
33666000,1310996,1310996
33674000,1311004,1311004
33749000,1310996,1310996
33772000,1311004,1311004
36187000,1310988,1310988
36249000,1310988,1310988
41205000,1310996,1310996
42099000,1311004,1311004
