timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
512000,inf,0,1,1,1,0,0,1,1,0,1
1514000,inf,0,1,1,1,0,0,1,0,0,1
2515000,inf,0,1,1,1,0,0,1,0,0,1
3516000,inf,0,1,1,1,0,0,1,0,0,1
4526000,inf,0,1,1,1,0,0,1,0,0,1
5526000,inf,0,1,1,1,0,0,1,0,0,1
6537000,inf,0,1,1,1,0,0,1,0,0,1
7548000,inf,0,1,1,1,0,0,1,0,0,1
8555000,inf,0,1,1,1,0,0,1,0,0,1
9555000,inf,0,1,1,1,0,0,1,0,0,1
10663000,inf,0,1,1,1,0,0,1,0,0,1
11048000,inf,0,1,1,1,1,1,1,0,0,1
11535000,inf,0,1,1,1,0,0,1,0,0,1
11547000,inf,0,1,1,1,1,1,1,0,0,1
12554000,inf,0,1,1,1,1,1,1,0,0,1
13557000,inf,0,1,1,1,1,1,1,0,0,1
14564000,inf,0,1,1,1,1,1,1,0,0,1
15568000,inf,0,1,1,1,1,1,1,0,0,1
15608000,inf,0,1,1,1,0,0,1,0,0,1
16616000,inf,0,1,1,1,0,0,1,0,0,1
17616000,inf,0,1,1,1,0,0,1,0,0,1
18626000,inf,0,1,1,1,0,0,1,0,0,1
19627000,inf,0,1,1,1,0,0,1,0,0,1
20637000,inf,0,1,1,1,0,0,1,0,0,1
21646000,inf,0,1,1,1,0,0,1,0,0,1
22646000,inf,0,1,1,1,0,0,1,0,0,1
23647000,inf,0,1,1,1,0,0,1,0,0,1
24165000,inf,0,1,1,1,1,0,1,0,0,1
24975000,inf,0,1,0,0,1,0,1,0,0,1
24987000,inf,0,0,0,0,1,0,1,0,0,1
25997000,inf,0,0,0,0,1,0,0,0,0,1
27007000,inf,0,0,0,0,1,0,0,1,0,1
28007000,inf,0,0,0,0,1,0,0,1,0,1
29017000,inf,0,0,0,0,1,0,0,1,0,1
29977000,inf,0,0,0,0,0,0,0,1,0,1
30984000,inf,0,0,0,0,0,0,0,1,0,1
31984000,inf,0,0,0,0,0,0,0,1,0,1
32984000,inf,0,0,0,0,0,0,0,1,0,1
33985000,inf,0,0,0,0,0,0,0,0,0,1
34996000,inf,0,0,0,0,0,0,0,0,0,1
36007000,inf,0,0,0,0,0,0,0,0,0,1
37007000,inf,0,0,0,0,0,0,0,0,0,1
38017000,inf,0,0,0,0,0,0,0,0,0,1
39024000,inf,0,0,0,0,0,0,0,0,0,1
40034000,inf,0,0,0,0,0,0,0,0,0,1
41044000,inf,0,0,0,0,0,0,0,0,0,1
42050000,inf,0,0,0,0,0,0,0,0,0,1
43050000,inf,0,0,0,0,0,0,0,0,0,1
44050000,inf,0,0,0,0,0,0,0,0,0,1
45061000,inf,0,0,0,0,0,0,0,0,0,1
46061000,inf,0,0,0,0,0,0,0,0,0,1
47071000,inf,0,0,0,0,0,0,0,0,0,1
48078000,inf,0,0,0,0,0,0,0,0,1,1
49081000,inf,0,0,0,0,0,0,0,0,1,1
50081000,inf,0,0,0,0,0,0,0,1,1,1
51083000,inf,0,0,0,0,0,0,0,1,0,1
52092000,inf,0,0,0,0,0,0,0,0,0,1
53102000,inf,0,0,0,0,0,0,0,0,0,1
54103000,inf,0,0,0,0,0,0,0,1,0,1
55103000,inf,0,0,0,0,0,0,0,1,0,1
56112000,inf,0,0,0,0,0,0,0,0,1,1
57123000,inf,0,0,0,0,0,0,0,0,1,1
58133000,inf,0,0,0,0,0,0,0,1,1,1
59140000,inf,0,0,0,0,0,0,0,1,1,1
60140000,inf,0,0,0,0,0,0,1,1,0,1
60336000,inf,0,1,1,1,0,0,1,1,0,1
