timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
539000,0.5271944,0.5376345,24.668434,1.0
543000,0.5271944,0.5376345,24.668434,1.0
547000,-0.524114,-0.53449315,24.668434,1.0
551000,-0.524114,-0.53449315,24.668434,1.0
555000,-0.6934925,-0.7072244,24.668434,1.0
559000,-0.6934925,-0.7072244,24.668434,1.0
563000,-0.6934925,-0.7072244,24.668434,1.0
567000,-0.8579251,-0.87491304,24.668434,1.0
571000,-0.8579251,-0.87491304,24.668434,1.0
575000,-0.9571495,-0.9761022,24.668434,1.0
579000,-0.9571495,-0.9761022,24.668434,1.0
583000,-0.9571495,-0.9761022,24.668434,1.0
587000,0.9400464,0.9586604,24.668434,1.0
591000,0.9400464,0.9586604,24.668434,1.0
595000,-0.8744501,-0.8917652,24.668434,1.0
599000,-0.8744501,-0.8917652,24.668434,1.0
603000,-0.8744501,-0.8917652,24.668434,1.0
607000,-0.5116349,-0.52176666,24.668434,1.0
611000,-0.5116349,-0.52176666,24.668434,1.0
615000,0.51384616,0.5240217,24.668434,1.0
619000,0.51384616,0.5240217,24.668434,1.0
623000,0.51384616,0.5240217,24.668434,1.0
627000,-0.59690565,-0.60872597,24.668434,1.0
631000,-0.59690565,-0.60872597,24.668434,1.0
635000,-0.91899294,-0.9371915,24.668434,1.0
639000,-0.91899294,-0.9371915,24.668434,1.0
643000,-0.91899294,-0.9371915,24.668434,1.0
647000,0.7869209,0.80250406,24.668434,1.0
651000,0.7869209,0.80250406,24.668434,1.0
655000,-0.92039734,-0.9386252,24.668434,1.0
659000,-0.92039734,-0.9386252,24.668434,1.0
663000,-0.92039734,-0.9386252,24.668434,1.0
667000,-0.5895168,-0.6011918,24.668434,1.0
671000,-0.5895168,-0.6011918,24.668434,1.0
675000,0.20271564,0.20673029,24.668434,1.0
679000,0.20271564,0.20673029,24.668434,1.0
683000,0.20271564,0.20673029,24.668434,1.0
687000,0.92991936,0.9483358,24.668434,1.0
691000,0.92991936,0.9483358,24.668434,1.0
695000,-0.8228916,-0.83918846,24.668434,1.0
699000,-0.8228916,-0.83918846,24.668434,1.0
703000,-0.8228916,-0.83918846,24.668434,1.0
707000,-0.5477752,-0.55862355,24.668434,1.0
711000,-0.5477752,-0.5586234,24.668434,1.0
715000,-0.36222064,-0.36939406,24.668434,1.0
719000,-0.36222064,-0.36939406,24.668434,1.0
723000,-0.36222064,-0.36939406,24.668434,1.0
727000,0.2870908,0.29277635,24.668434,1.0
731000,0.2870908,0.29277635,24.668434,1.0
737000,-0.840909,-0.85756236,24.668434,1.0
741000,-0.840909,-0.85756236,24.668434,1.0
745000,1.0067843,1.0267227,24.668434,1.0
749000,1.0067843,1.0267227,24.668434,1.0
753000,1.0067843,1.0267227,24.668434,1.0
757000,1.023603,1.0438744,24.668434,1.0
761000,1.023603,1.0438744,24.668434,1.0
765000,-0.45207828,-0.46103123,24.668434,1.0
769000,-0.45207828,-0.46103123,24.668434,1.0
773000,-0.45207828,-0.46103123,24.668434,1.0
777000,-0.89691997,-0.91468257,24.668434,1.0
781000,-0.89691997,-0.91468257,24.668434,1.0
785000,-0.8067829,-0.8227604,24.668434,1.0
789000,-0.8067829,-0.8227604,24.668434,1.0
793000,-0.8067829,-0.8227604,24.668434,1.0
797000,-0.7424522,-0.7571557,24.668434,1.0
801000,-0.7424522,-0.7571557,24.668434,1.0
805000,-0.34955722,-0.35647985,24.668434,1.0
809000,-0.34955722,-0.35647985,24.668434,1.0
813000,-0.34955722,-0.35647926,24.668434,1.0
817000,0.9375794,0.95614564,24.668434,1.0
821000,0.9375794,0.95614564,24.668434,1.0
825000,-0.2962675,-0.3021343,24.668434,1.0
829000,-0.2962675,-0.3021343,24.668434,1.0
833000,-0.2962675,-0.3021343,24.668434,1.0
837000,-0.35084438,-0.35779193,24.668434,1.0
841000,-0.35084438,-0.35779193,24.668434,1.0
845000,0.7643048,0.7794398,24.668434,1.0
849000,0.7643048,0.7794398,24.668434,1.0
853000,0.7643048,0.7794398,24.668434,1.0
857000,-0.66423494,-0.6773883,24.668434,1.0
861000,-0.66423494,-0.6773883,24.668434,1.0
865000,0.6728195,0.6861444,24.668434,1.0
869000,0.6728195,0.6861444,24.668434,1.0
873000,0.6728195,0.6861444,24.668434,1.0
877000,-0.82715404,-0.8435355,24.668434,1.0
881000,-0.82715404,-0.8435355,24.668434,1.0
885000,0.59179664,0.60351694,24.668434,1.0
889000,0.59179664,0.60351694,24.668434,1.0
893000,0.59179664,0.60351694,24.668434,1.0
897000,0.8073278,0.82331663,24.668434,1.0
901000,0.8073278,0.82331663,24.668434,1.0
905000,0.6915033,0.7051982,24.668434,1.0
909000,0.6915033,0.7051982,24.668434,1.0
913000,0.6915033,0.7051984,24.668434,1.0
917000,-0.99819356,-1.0179626,24.668434,1.0
921000,-0.99819356,-1.0179626,24.668434,1.0
925000,-0.4582571,-0.4673328,24.668434,1.0
929000,-0.4582571,-0.4673328,24.668434,1.0
933000,-0.4582571,-0.4673328,24.668434,1.0
937000,0.41172546,0.41987962,24.668434,1.0
941000,0.41172546,0.41987962,24.668434,1.0
945000,0.8717267,0.8889911,24.668434,1.0
949000,0.8717267,0.8889911,24.668434,1.0
953000,0.8717267,0.8889911,24.668434,1.0
957000,0.99454814,1.014245,24.668434,1.0
961000,0.99454814,1.014245,24.668434,1.0
965000,-0.9498338,-0.9686451,24.668434,1.0
969000,-0.9498338,-0.9686427,24.668434,1.0
973000,-0.9498338,-0.9686427,24.668434,1.0
977000,-0.48574075,-0.49535954,24.668434,1.0
981000,-0.48574075,-0.49535954,24.668434,1.0
985000,-0.8817328,-0.89919317,24.668434,1.0
989000,-0.8817328,-0.89919317,24.668434,1.0
993000,-0.8817328,-0.89919317,24.668434,1.0
997000,-0.9236109,-0.94190055,24.668434,1.0
1005000,-0.4348504,-0.44346145,24.668434,1.0
1009000,-0.4348504,-0.44346145,24.668434,1.0
1013000,-0.4348504,-0.44346145,24.668434,1.0
1017000,-0.9008138,-0.91865206,24.668434,1.0
1021000,-0.9008138,-0.9186548,24.668434,1.0
1029000,0.7442957,0.75903684,24.668434,1.0
1033000,0.7442957,0.75903684,24.668434,1.0
1041000,-0.711747,-0.7258434,24.668434,1.0
1049000,-1.0053582,-1.0252697,24.668434,1.0
1053000,-1.0053582,-1.0252697,24.668434,1.0
1057000,0.69844025,0.7122732,24.668434,1.0
1066000,-0.50068283,-0.5105991,24.668434,1.0
1070000,-0.50068283,-0.5105971,24.668434,1.0
1078000,-0.41572917,-0.42396122,24.668434,1.0
