timestamp,load,ram_usage
513000,0.08163265,0.64618003
1014000,0.0,0.64511085
1513000,0.0,0.6449012
2012000,0.0,0.64459366
2512000,0.0,0.64430034
3014000,0.0,0.64302075
3512000,0.0,0.64460063
4015000,0.0,0.6479249
4513000,0.0,0.6474758
5015000,0.0,0.64786476
5515000,0.0,0.64815134
6012000,0.0,0.64709395
6513000,0.0,0.6459002
7014000,0.0,0.6458682
7515000,0.0,0.644855
8013000,0.0,0.64503556
8514000,0.0,0.6447233
9014000,0.0,0.64499664
9512000,0.0,0.6445901
10012000,0.0,0.6450055
10513000,0.0,0.64454824
11014000,0.0,0.64555395
11514000,0.0,0.646283
12012000,0.0,0.6466972
12513000,0.0,0.64651763
13015000,0.0,0.6469802
13515000,0.0,0.6472921
14013000,0.0,0.64740145
14512000,0.0,0.6471988
15014000,0.1,0.64693934
15515000,0.0,0.6477703
16012000,0.24489796,0.6496113
16513000,0.0,0.64959663
17015000,0.0,0.64947253
17512000,0.0,0.6498981
18013000,0.0,0.64952475
18514000,0.0,0.649769
19014000,0.0,0.64984375
19512000,0.0,0.64958173
20012000,0.0,0.6497144
20513000,0.0,0.6498092
21014000,0.0,0.64978224
21512000,0.0,0.64983535
22012000,0.0,0.64971805
22515000,0.0,0.6499779
23014000,0.0,0.6498125
23515000,0.0,0.64874935
24012000,0.0,0.6491213
24515000,0.0,0.6491965
25014000,0.0,0.64903617
25513000,0.0,0.64936435
26013000,0.0,0.6486269
26515000,0.0,0.6491694
27012000,0.0,0.6490643
27512000,0.0,0.64875364
28013000,0.0,0.6489352
28514000,0.0,0.64927685
29015000,0.0,0.6490482
29516000,0.0,0.6485423
30012000,0.0,0.64892507
30519000,0.0,0.6485339
31013000,0.0,0.64861447
31512000,0.0,0.6491338
32013000,0.0,0.6489773
32515000,0.0,0.6487046
33013000,0.04,0.64868754
33515000,0.0,0.6487267
34013000,0.0,0.6487339
34514000,0.0,0.6483711
35012000,0.0,0.6488585
35513000,0.0,0.64902127
36015000,0.0,0.6488544
36512000,0.0,0.64920616
37015000,0.0,0.6490162
37512000,0.0,0.6487029
38014000,0.0,0.6489729
38514000,0.0,0.6484959
39015000,0.0,0.64901763
39514000,0.0,0.64890707
40015000,0.0,0.6489474
40515000,0.0,0.64902943
41014000,0.0,0.64874643
41514000,0.0,0.6490494
42014000,0.0,0.64884573
42512000,0.0,0.6488347
43015000,0.0,0.649083
43512000,0.0,0.6486762
44014000,0.0,0.6490797
44515000,0.0,0.64891285
45013000,0.0,0.6489693
45513000,0.0,0.6492939
46012000,0.0,0.6490085
46515000,0.0,0.6493653
47014000,0.0,0.6490631
47513000,0.02,0.64929944
48014000,0.0,0.6490429
48512000,0.0,0.6488106
49013000,0.08,0.64912105
49514000,0.0,0.64928186
50013000,0.0,0.6491785
50514000,0.0,0.6493316
51013000,0.0,0.6491975
51515000,0.0,0.6491648
52014000,0.0,0.649172
52513000,0.0,0.6492771
53015000,0.0,0.6489126
53514000,0.04,0.6493252
54016000,0.13725491,0.6493011
54512000,0.0,0.6506923
55014000,0.04,0.6502068
55512000,0.0,0.65072566
56013000,0.0,0.65037274
56513000,0.0,0.65002555
57012000,0.1764706,0.6499082
57513000,0.0,0.65009385
58012000,0.0,0.6498986
58513000,0.0,0.6497308
59013000,0.0,0.6501006
59513000,0.0,0.64973104
60014000,0.0,0.6499758
60512000,0.0,0.65000224
