timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
755000,755000,1.853037e-10,1.2281938e-05,0.00067436293,1.4068667e-05,0.0007112135,6.900021e-06,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
767000,767000,1.8664453e-10,1.2306481e-05,0.0006652351,5.6588236e-05,0.000931916,9.127968e-06,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
948000,948000,1.9492513e-10,1.390056e-05,0.0006447967,0.000102902304,0.0013250227,0.024460316,512,0,1.3338535,1.7505512,0.0,nan,nan,0.0017117579,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1156000,1156000,2.390141e-10,1.540911e-05,0.0015194523,7.9736084e-05,0.0005877756,0.02494274,67109376,0,1.2583989,1.2404153,8.291304e-05,nan,nan,0.00083521643,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1348000,1348000,2.7248445e-10,1.6117927e-05,0.0011011646,4.3840213e-05,0.0015284315,0.0050134026,67109376,0,0.33993605,1.0173261,0.000116779636,nan,nan,0.0012661462,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1556000,1556000,2.5601282e-10,1.6580467e-05,0.00075418357,4.080822e-05,0.0016935027,0.003919593,67109376,0,0.27340052,0.8906034,5.4980832e-05,nan,nan,0.00054103706,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1755000,1755000,2.5365843e-10,1.7117374e-05,0.0011178497,0.00011363104,0.0018925822,0.009048655,67109376,0,0.2336002,0.81237596,0.0003276831,nan,nan,0.0017178851,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1957000,1957000,2.5367572e-10,1.6881528e-05,0.0009940404,0.00030442182,0.002335408,0.0050673033,67109376,0,0.21600161,0.7630707,0.00081401906,nan,nan,0.0026732963,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2154000,2154000,2.7115368e-10,1.7270999e-05,0.0009360821,0.00025626435,0.0019474931,0.006557568,67109376,0,0.2095491,0.73341084,0.0002862872,nan,nan,0.0033871005,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2355000,2355000,2.6493066e-10,1.7392642e-05,0.0008175539,0.00025371157,0.0014474355,0.0028212836,67109376,0,0.20005788,0.7179481,0.00011283676,nan,nan,0.0018446752,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
