timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
975000,975000,1310988,-0.0010652645,-0.0026631611,0.0053263223,24.668434,0,1
1972000,1972000,1310988,0.0026631611,-0.0031957934,0.007456851,24.668434,0,1
2975000,2975000,1310988,-0.0010652645,0.0005326322,-0.002130529,24.668434,0,1
3974000,3974000,1310988,0.0031957934,0.0005326322,-0.00479369,24.668434,0,1
4972000,4972000,1310988,0.004261058,-0.0063915867,-0.002130529,24.668434,0,1
5975000,5975000,1310988,-0.0063915867,0.004261058,0.0026631611,24.668434,0,1
6973000,6973000,1310988,0.0058589545,-0.0031957934,-0.0026631611,24.668434,0,1
7974000,7974000,1310988,-0.0053263223,0.0053263223,0.0,24.668434,0,1
8972000,8972000,1310988,0.0037284256,-0.0010652645,0.0010652645,24.668434,0,1
9975000,9975000,1310988,0.0005326322,0.0026631611,-0.0053263223,24.668434,0,1
10972000,10972000,1310988,0.0053263223,0.0,-0.0031957934,24.668434,0,1
11973000,11973000,1310988,-0.0005326322,0.0015978967,0.0037284256,24.668434,0,1
12974000,12974000,1310988,-0.002130529,-0.0058589545,-0.0031957934,24.668434,0,1
13973000,13973000,1310988,-0.0031957934,-0.0031957934,0.0015978967,24.668434,0,1
14972000,14972000,1310988,-0.0005326322,0.0031957934,0.0037284256,24.668434,0,1
15972000,15972000,1310988,0.0037284256,0.00479369,0.0037284256,24.668434,0,1
16971000,16971000,1310988,0.002130529,-0.0037284256,0.002130529,24.668434,0,1
17975000,17975000,1310988,-0.002130529,0.00479369,0.00479369,24.668434,0,1
18974000,18974000,1310988,0.0037284256,-0.0005326322,-0.0026631611,24.668434,0,1
19972000,19972000,1310988,0.0031957934,-0.0031957934,-0.0026631611,24.668434,0,1
20972000,20972000,1310988,0.0010652645,-0.0015978967,-0.0010652645,24.668434,0,1
21975000,21975000,1310988,0.0005326322,-0.0015978967,-0.0026631611,24.668434,0,1
22974000,22974000,1310988,-0.0026631611,0.0005326322,0.006924219,24.668434,0,1
23975000,23975000,1310988,-0.00479369,0.0031957934,-0.0053263223,24.668434,0,1
24974000,24974000,1310988,-0.002130529,0.03568636,0.0031957934,24.668325,0,1
25974000,25974000,1310988,0.004261058,-0.0793622,0.022903185,24.668108,0,1
26975000,26975000,1310988,0.016511599,0.007989483,0.0053263223,24.659029,0,1
27974000,27974000,1310988,-0.0031957934,0.04580637,-0.0015978967,24.641758,0,1
28974000,28974000,1310988,0.02609898,-0.021837922,-0.0037284256,24.623528,0,1
29972000,29972000,1310988,0.010652645,-0.015978966,-0.007456851,24.604824,0,1
30973000,30973000,1310988,-0.009054748,0.006924219,-0.0037284256,24.585932,0,1
31974000,31974000,1310988,0.013315806,-0.0063915867,0.0037284256,24.576025,0,1
32975000,32975000,1310988,-0.0037284256,0.0026631611,0.0037284256,24.572496,0,1
33974000,33974000,1310988,-0.015978966,-0.0015978967,0.0005326322,24.571247,0,1
34972000,34972000,1310988,0.0010652645,-0.00958738,0.0026631611,24.570663,0,1
35973000,35973000,1310988,0.036751624,0.007989483,-0.004261058,24.570557,0,1
36975000,36975000,1310988,0.0015978967,0.0037284256,0.006924219,24.570427,0,1
37974000,37974000,1310988,-0.0031957934,-0.016511599,0.0005326322,24.570372,0,1
38974000,38974000,1310988,0.0015978967,-0.0005326322,0.0005326322,24.570477,0,1
39972000,39972000,1310988,0.5811018,0.7643272,-0.0005326322,24.568707,0,1
40972000,40972000,1310988,-0.20133498,-0.46978164,-0.010120012,24.56619,0,1
41973000,41973000,1310988,-0.07350325,-0.48469532,-0.012250541,24.565474,0,1
42972000,42972000,1310988,0.5448828,-0.3653857,0.0037284256,24.567633,0,1
43973000,43973000,1310988,-0.13369069,0.01438107,-0.030360037,24.56394,0,1
44972000,44972000,1310988,0.02130529,-0.08522116,-0.0010652645,24.570282,0,1
45972000,45972000,1310988,0.40266997,-0.11611383,0.013848438,24.572985,0,1
46972000,46972000,1310988,-0.01917476,0.28708878,-0.020240024,24.570461,0,1
47973000,47973000,1310988,0.33981937,-0.48309743,-0.0005326322,24.573206,0,1
48974000,48974000,1310988,-0.47137952,-0.31638354,-0.020772656,24.572508,0,1
49973000,49973000,1310988,0.5470133,0.036751624,0.008522116,24.574808,0,1
50975000,50975000,1310988,-0.33182988,-0.15499598,-0.0063915867,24.572012,0,1
51975000,51975000,1310988,0.0058589545,0.28868666,-0.12836437,24.56885,0,1
52972000,52972000,1310988,0.28336033,-1.0002834,0.036218993,24.57006,0,1
53974000,53974000,1310988,0.021837922,-0.5763081,-0.018642128,24.569042,0,1
54973000,54973000,1310988,-0.31158987,0.2066613,-0.015446335,24.563461,0,1
55972000,55972000,1310988,-0.098004326,0.44421527,0.008522116,24.563564,0,1
56972000,56972000,1310988,-0.25672874,0.31318775,-0.006924219,24.559883,0,1
57975000,57975000,1310988,-0.3749731,0.14647387,0.11717909,24.55613,0,1
58974000,58974000,1310988,-0.2892193,-0.002130529,-0.0058589545,24.555126,0,1
59974000,59974000,1310988,0.21411815,-0.5219796,-0.0015978967,24.563581,0,1
