timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
530000,1310988,1310988,1310996,1311004,0,0.0011730324,0.0005871695,0.0005852564,0.0,1310988,1310988,1310996,1311004,0,4.1726427e-05,2.1270178e-05,2.0460306e-05,0.0,1,1,1,0,1,1,1,0
534000,1310988,1310988,1310996,1311004,0,0.0023415068,0.0011703866,0.0011703664,0.0,1310988,1310988,1310996,1311004,0,7.125837e-05,3.5181383e-05,3.6077807e-05,0.0,1,1,1,0,1,1,1,0
726000,1310988,1310988,1310996,1311004,0,0.0023322986,0.001165447,0.0011658828,0.0,1310988,1310988,1310996,1311004,0,0.00014349236,7.176931e-05,7.1723036e-05,0.0,1,1,1,0,1,1,1,0
928000,1310988,1310988,1310996,1311004,0,0.000526658,0.00026356775,0.00026356775,0.0,1310988,1310988,1310996,1311004,0,0.00018316151,9.158069e-05,9.158069e-05,0.0,1,1,1,0,1,1,1,0
1127000,1310988,1310988,1310996,1311004,0,0.0018834451,0.00057076244,0.0013628972,0.0,1310988,1310988,1310996,1311004,0,0.00012298503,6.807817e-05,0.00010098858,0.0,1,1,1,0,1,1,1,0
1331000,1310988,1310988,1310996,1311004,0,0.004867943,0.0010728309,0.0040740217,0.0,1310988,1310988,1310996,1311004,0,0.00014677588,0.00014939318,7.068851e-05,0.0,1,1,1,0,1,1,1,0
1531000,1310988,1310988,1310996,1311004,0,0.0024808105,0.0021130575,0.0020336562,0.0,1310988,1310988,1310996,1311004,0,0.00026561474,0.00013412476,0.00021421011,0.0,1,1,1,0,1,1,1,0
1730000,1310988,1310988,1310996,1311004,0,0.002898056,0.0009136588,0.0024311552,0.0,1310988,1310988,1310996,1311004,0,0.0002644246,0.00013448563,0.00021855923,0.0,1,1,1,0,1,1,1,0
1931000,1310988,1310988,1310996,1311004,0,0.0039922493,0.0024495188,0.0016585935,0.0,1310988,1310988,1310996,1311004,0,8.910025e-05,5.3662163e-05,0.00013605185,0.0,1,1,1,0,1,1,1,0
2132000,1310988,1310988,1310996,1311004,0,0.0021069862,0.002594562,0.0009514979,0.0,1310988,1310988,1310996,1311004,0,0.00014213848,0.00020065287,0.00018793883,0.0,1,1,1,0,1,1,1,0
2333000,1310988,1310988,1310996,1311004,0,0.0034379642,0.002542314,0.005323748,0.0,1310988,1310988,1310996,1311004,0,0.00033857898,0.0001417864,0.00028481416,0.0,1,1,1,0,1,1,1,0
2530000,1310988,1310988,1310996,1311004,0,0.0012822035,0.0020619156,0.00097170053,0.0,1310988,1310988,1310996,1311004,0,0.00046112764,0.00022758872,0.00023841084,0.0,1,1,1,0,1,1,1,0
2731000,1310988,1310988,1310996,1311004,0,0.0037501608,0.0030593553,0.0028201225,0.0,1310988,1310988,1310996,1311004,0,0.0003200231,0.0003560985,0.00033658792,0.0,1,1,1,0,1,1,1,0
2932000,1310988,1310988,1310996,1311004,0,0.009159031,0.012340203,0.0033749174,0.0,1310988,1310988,1310996,1311004,0,0.0005519803,0.00049954635,0.0003598194,0.0,1,1,1,0,1,1,1,0
3131000,1310988,1310988,1310996,1311004,0,0.0013814425,0.0007135422,0.0011707497,0.0,1310988,1310988,1310996,1311004,0,0.00010381064,0.0003761709,0.0003185808,0.0,1,1,1,0,1,1,1,0
3330000,1310988,1310988,1310996,1311004,0,0.0022355716,0.0015857836,0.003099089,0.0,1310988,1310988,1310996,1311004,0,0.00021957603,0.00013471495,0.0002258519,0.0,1,1,1,0,1,1,1,0
3533000,1310988,1310988,1310996,1311004,0,0.0022968375,0.003927666,0.005136914,0.0,1310988,1310988,1310996,1311004,0,0.00024935883,0.00018020344,0.00017485961,0.0,1,1,1,0,1,1,1,0
3730000,1310988,1310988,1310996,1311004,0,0.0030554447,0.0037627711,0.0012957901,0.0,1310988,1310988,1310996,1311004,0,0.00019074876,0.00019242027,8.042542e-05,0.0,1,1,1,0,1,1,1,0
3931000,1310988,1310988,1310996,1311004,0,0.0037062033,0.0013041944,0.002864643,0.0,1310988,1310988,1310996,1311004,0,0.00022627301,6.206529e-05,0.0001661776,0.0,1,1,1,0,1,1,1,0
4131000,1310988,1310988,1310996,1311004,0,0.003353147,0.0022430231,0.0028131795,0.0,1310988,1310988,1310996,1311004,0,0.000283589,0.00014276414,0.00023694767,0.0,1,1,1,0,1,1,1,0
4333000,1310988,1310988,1310996,1311004,0,0.0025700545,0.0011606022,0.0035041007,0.0,1310988,1310988,1310996,1311004,0,8.1862185e-05,0.000186939,0.00013050027,0.0,1,1,1,0,1,1,1,0
4533000,1310988,1310988,1310996,1311004,0,0.0048245355,0.0021601708,0.003548343,0.0,1310988,1310988,1310996,1311004,0,0.00023193812,0.00022866213,0.00013602752,0.0,1,1,1,0,1,1,1,0
4733000,1310988,1310988,1310996,1311004,0,0.0016630327,0.0017948751,0.0022351984,0.0,1310988,1310988,1310996,1311004,0,0.00021665836,0.000111674206,0.00032812034,0.0,1,1,1,0,1,1,1,0
4929000,1310988,1310988,1310996,1311004,0,0.003013882,0.002687772,0.0038161522,0.0,1310988,1310988,1310996,1311004,0,0.0005051297,0.00030070654,0.00022015505,0.0,1,1,1,0,1,1,1,0
5126000,1310988,1310988,1310996,1311004,0,0.00151935,0.0028314271,0.0039691287,0.0,1310988,1310988,1310996,1311004,0,0.00039193576,0.00028700838,0.00028687794,0.0,1,1,1,0,1,1,1,0
5326000,1310988,1310988,1310996,1311004,0,0.002572283,0.0015522003,0.0017729128,0.0,1310988,1310988,1310996,1311004,0,0.0001884048,0.00017097354,2.845085e-05,0.0,1,1,1,0,1,1,1,0
5531000,1310988,1310988,1310996,1311004,0,0.0017063828,0.0011059318,0.0013840456,0.0,1310988,1310988,1310996,1311004,0,0.00019626998,5.7929054e-05,0.00019139163,0.0,1,1,1,0,1,1,1,0
5731000,1310988,1310988,1310996,1311004,0,0.009322577,0.005267327,0.0043708608,0.0,1310988,1310988,1310996,1311004,0,0.000354971,0.00031778755,0.00016098889,0.0,1,1,1,0,1,1,1,0
5932000,1310988,1310988,1310996,1311004,0,0.0029095467,0.0030601677,0.0053328383,0.0,1310988,1310988,1310996,1311004,0,0.00031508118,0.00024504686,0.00010503809,0.0,1,1,1,0,1,1,1,0
6131000,1310988,1310988,1310996,1311004,0,0.0042377585,0.0017394444,0.005437676,0.0,1310988,1310988,1310996,1311004,0,0.00018866837,0.00018093702,0.0002594323,0.0,1,1,1,0,1,1,1,0
6332000,1310988,1310988,1310996,1311004,0,0.0023697633,0.0048934743,0.0041425065,0.0,1310988,1310988,1310996,1311004,0,0.00032236663,0.00019262974,0.00038626755,0.0,1,1,1,0,1,1,1,0
6533000,1310988,1310988,1310996,1311004,0,0.0064852256,0.0011478483,0.0055413046,0.0,1310988,1310988,1310996,1311004,0,7.242779e-05,6.2636e-05,0.00012956077,0.0,1,1,1,0,1,1,1,0
6730000,1310988,1310988,1310996,1311004,0,0.0050660735,0.0032342272,0.001863176,0.0,1310988,1310988,1310996,1311004,0,5.530637e-05,8.74287e-05,4.3471842e-05,0.0,1,1,1,0,1,1,1,0
6930000,1310988,1310988,1310996,1311004,0,0.0028139276,0.0018616247,0.0045325696,0.0,1310988,1310988,1310996,1311004,0,0.00026550566,0.00019804559,0.00015125998,0.0,1,1,1,0,1,1,1,0
