timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
975000,975000,1310988,0.021547815,0.023942016,-9.792285,24.993435,0,0,0,0,1
1974000,1974000,1310988,-0.007182605,0.0047884034,-9.765948,24.993435,0,0,0,0,1
2974000,2974000,1310988,-0.033518825,-0.06464344,-9.811439,24.993435,0,0,0,0,1
3975000,3975000,1310988,-0.059855044,-0.011971008,-9.835381,24.993435,0,0,0,0,1
4975000,4975000,1310988,0.074220255,-0.045489833,-9.871294,24.993435,0,0,0,0,1
5975000,5975000,1310988,0.062249243,0.011971008,-9.82341,24.993435,0,0,0,0,1
6972000,6972000,1310988,-0.04070143,0.0023942017,-9.8042555,24.993435,0,0,0,0,1
7975000,7975000,1310988,0.0023942017,0.062249243,-9.710882,24.993435,0,0,0,0,1
8973000,8973000,1310988,-0.01436521,-0.02873042,-9.689334,24.993435,0,0,0,0,1
9975000,9975000,1310988,-0.011971008,-0.06464344,-9.840169,24.993435,0,0,0,0,1
10974000,10974000,1310988,0.04309563,-0.01436521,-9.667787,24.993435,0,0,0,0,1
11972000,11972000,1310988,0.08379706,0.009576807,-9.76116,24.993435,0,0,0,0,1
12975000,12975000,1310988,0.007182605,-0.01436521,-9.916783,24.993435,0,0,0,0,1
13972000,13972000,1310988,0.007182605,0.04070143,-9.8042555,24.993435,0,0,0,0,1
14973000,14973000,1310988,-0.016759412,-0.019153614,-9.782708,24.993435,0,0,0,0,1
15972000,15972000,1310988,0.023942016,0.033518825,-9.868899,24.993435,0,0,0,0,1
16973000,16973000,1310988,-0.04309563,-0.0023942017,-9.770737,24.993435,0,0,0,0,1
17971000,17971000,1310988,0.05746084,-0.08379706,-9.67018,24.993435,0,0,0,0,1
18974000,18974000,1310988,-0.023942016,-0.01436521,-9.785102,24.993435,0,0,0,0,1
19972000,19972000,1310988,-0.031124622,-0.019153614,-9.768343,24.993435,0,0,0,0,1
20973000,20973000,1310988,-0.011971008,-0.021547815,-9.797073,24.993435,0,0,0,0,1
21974000,21974000,1310988,0.04309563,-0.007182605,-9.7324295,24.993435,0,0,0,0,1
22974000,22974000,1310988,-0.019153614,-0.01436521,-9.825804,24.993435,0,0,0,0,1
23973000,23973000,1310988,-0.011971008,-0.045489833,-9.662998,24.993423,0,0,0,0,1
24974000,24974000,1310988,-0.11971009,-0.1340753,-12.840104,24.993338,0,0,0,0,1
25974000,25974000,1310988,0.0047884034,0.05746084,-12.277467,24.991652,0,0,0,0,1
26975000,26975000,1310988,0.0,0.06464344,-10.15381,24.97859,0,0,0,0,1
27973000,27973000,1310988,0.0023942017,-0.01436521,-10.029311,24.96222,0,0,0,0,1
28975000,28975000,1310988,-0.02873042,-0.06464344,-9.933543,24.944609,0,0,0,0,1
29975000,29975000,1310988,-0.04070143,-0.074220255,-9.988609,24.926275,0,0,0,0,1
30973000,30973000,1310988,0.07182605,-0.016759412,-7.445967,24.908659,0,0,0,0,1
31972000,31972000,1310988,0.033518825,-0.019153614,-9.011775,24.900375,0,0,0,0,1
32973000,32973000,1310988,0.04070143,0.031124622,-9.545682,24.897038,0,0,0,0,1
33974000,33974000,1310988,0.0023942017,0.074220255,-9.581595,24.895426,0,0,0,0,1
34974000,34974000,1310988,0.0,-0.04309563,-9.727641,24.895025,0,0,0,0,1
35973000,35973000,1310988,-0.050278235,0.06464344,-9.80665,24.89517,0,0,0,0,1
36973000,36973000,1310988,-0.031124622,0.0047884034,-9.775525,24.895323,0,0,0,0,1
37975000,37975000,1310988,-0.031124622,-0.033518825,-9.720459,24.895521,0,0,0,0,1
38972000,38972000,1310988,-0.045489833,0.090979666,-4.1132383,24.901066,0,0,0,0,1
39974000,39974000,1310988,0.079008654,0.12210429,-5.9041014,24.939978,0,0,0,0,1
40972000,40972000,1310988,0.033518825,0.40222588,-13.441049,24.995804,0,0,0,0,1
41973000,41973000,1310988,-0.031124622,-0.01436521,-9.787497,24.995089,0,0,0,0,1
42972000,42972000,1310988,0.050278235,0.023942016,-9.813833,24.994373,0,0,0,0,1
43972000,43972000,1310988,-0.011971008,0.023942016,-3.4093432,24.993235,0,0,0,0,1
44975000,44975000,1310988,0.05746084,0.05746084,-4.1132383,24.993317,0,0,0,0,1
45974000,45974000,1310988,-0.033518825,0.08619126,-3.1435869,24.993324,0,0,0,0,1
46972000,46972000,1310988,0.074220255,0.038307227,-9.849746,24.993408,0,0,0,0,1
