timestamp,saturation_status
999000,1533
2002000,1533
3002000,1533
4003000,1533
5003000,1533
6003000,1533
7001000,1533
8003000,1533
9002000,1533
10003000,1533
11002000,1533
12001000,1533
13003000,1533
13996000,1533
15002000,1533
16000000,1533
17001000,1533
17995000,1533
19002000,1533
20000000,1533
21001000,1533
22002000,1533
23003000,1529
24001000,1
25002000,1
26002000,1
27003000,1
28002000,1
29003000,1
30003000,1
31001000,1
31996000,1
33002000,1
34002000,1
35002000,1
35997000,1
37001000,1
38003000,1
39000000,3
40003000,7
40996000,7
41997000,7
43000000,7
44000000,7
44999000,7
46002000,7
46996000,1533
