timestamp,rtl_time_s,rtl_limit_fraction
10998000,0.0,0.0
12004000,0.03429718,3.8107977e-05
13022000,0.036329936,4.0366594e-05
14032000,0.09538114,0.000105979045
15032000,0.11823829,0.00013137588
16071000,0.026471449,2.941272e-05
17082000,0.12222327,0.00013580364
18092000,0.16015716,0.0001779524
19122000,0.19389008,0.00021543342
20132000,0.1324736,0.0001471929
21141000,0.110586174,0.00012287352
22151000,0.08991425,9.990472e-05
23160000,0.017194726,1.9105251e-05
24192000,0.009476798,1.0529775e-05
25200000,0.006190785,6.8786503e-06
26209000,0.12657283,0.00014063648
27221000,1.9044198,0.002116022
28230000,4.554283,0.0050603147
29241000,7.2523475,0.008058164
30255000,10.129341,0.011254824
31269000,12.978175,0.014420195
32279000,14.308707,0.015898563
33287000,14.763298,0.016403664
34300000,14.947949,0.016608832
35307000,15.018872,0.016687635
36329000,15.057393,0.016730437
37337000,15.076474,0.016751638
38349000,15.135085,0.016816761
39357000,15.168306,0.016853673
40370000,16.192162,0.017991291
41371000,18.025587,0.020028431
42393000,20.157726,0.022397473
43393000,22.329939,0.024811042
44401000,24.499542,0.027221713
45414000,26.79336,0.0297704
46425000,29.032913,0.032258794
47436000,31.309395,0.034788217
48447000,33.640823,0.03737869
49457000,35.904427,0.039893806
50475000,38.279404,0.04253267
51485000,40.627518,0.045141686
52494000,42.96566,0.04773962
53507000,49.774757,0.055305287
54513000,51.994404,0.05777156
55525000,54.288273,0.060320303
56541000,56.604675,0.06289408
57553000,58.895706,0.06543967
58563000,61.197254,0.06799695
59574000,63.408966,0.070454404
60591000,0.22227882,0.00024697647
