timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1507000,4000000.0,1.0,0.0,0.0,56,0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265000,4000000.0,1.0,2402.1956,0.0,98,0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2361000,4000000.0,1.0,2402.1956,0.0,111,0,0.0,1,0,0,0,0,0.0,0,0,0,1,0,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3450000,4000000.0,1.0,1861.2775,0.0,176,0,16.966068,4,0,0,0,0,0.0,0,0,0,1,0,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4378000,4000000.0,1.0,4213.786,0.0,343,0,335.66434,17,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5360000,4000000.0,1.0,7583.2505,0.0,550,0,20.93719,18,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6362000,4000000.0,1.0,8215.354,0.0,763,0,20.93719,19,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7359000,4000000.0,1.0,8390.438,0.0,973,0,20.916336,20,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8362000,4000000.0,1.0,8173.826,0.0,1186,0,20.979021,21,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9359000,4000000.0,1.0,8279.441,0.0,1397,0,20.958084,22,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10361000,4000000.0,1.0,8398.804,0.0,1650,0,20.93719,24,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11362000,4000000.0,1.0,12492.508,0.0,1980,0,46.95305,25,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12362000,4000000.0,1.0,15536.927,0.0,2343,0,20.958084,26,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13360000,4000000.0,1.0,15666.999,0.0,2705,0,20.93719,27,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14361000,4000000.0,1.0,15612.164,0.0,3068,0,20.93719,28,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15359000,4000000.0,1.0,15854.292,0.0,3439,0,752.49506,76,11938,0,0,0,157.07895,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16361000,4000000.0,1.0,15810.38,0.0,3803,0,6334.3315,172,36068,0,0,0,209.69768,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17360000,4000000.0,1.0,15687.625,0.0,4165,0,6183.633,266,59690,0,0,0,224.3985,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18359000,4000000.0,1.0,15572.283,0.0,4529,0,6112.662,364,84328,0,0,0,231.67033,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19360000,4000000.0,1.0,15795.205,0.0,4893,0,6340.6597,461,108712,0,0,0,235.8178,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20360000,4000000.0,1.0,15653.041,0.0,5259,0,6177.468,557,132588,0,0,0,238.03949,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21360000,4000000.0,1.0,15725.822,0.0,5621,0,6203.3896,652,156464,0,0,0,239.97546,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22359000,4000000.0,1.0,15601.196,0.0,5985,0,6177.468,750,181102,0,0,0,241.46933,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23361000,4000000.0,1.0,15672.981,0.0,6347,0,6177.468,845,204978,0,0,0,242.57751,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24362000,4000000.0,1.0,15658.367,0.0,6713,0,6214.1436,942,229362,0,0,0,243.48407,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25379000,4000000.0,1.0,15786.641,0.0,7082,0,6112.662,1039,253746,0,0,0,244.22136,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26360000,4000000.0,1.0,15744.766,0.0,7439,0,6177.468,1132,277114,0,0,0,244.80035,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27375000,4000000.0,1.0,15628.116,0.0,7805,0,6112.662,1229,301498,0,0,0,245.31978,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28361000,4000000.0,1.0,15533.865,0.0,8165,0,6300.797,1324,325374,0,0,0,245.75075,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29359000,4000000.0,1.0,15744.024,0.0,8527,0,6171.315,1419,349250,0,0,0,246.12402,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30362000,4000000.0,1.0,15511.953,0.0,8894,0,6041.833,1515,373126,0,0,0,246.2878,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31377000,4000000.0,1.0,15870.519,0.0,9263,0,6261.952,1612,397510,0,0,0,246.5943,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32361000,4000000.0,1.0,15545.908,0.0,9620,0,6118.7627,1706,421132,0,0,0,246.85345,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33362000,4000000.0,1.0,15596.614,0.0,9982,0,6106.5737,1802,445262,0,0,0,247.09323,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34360000,4000000.0,1.0,15493.52,0.0,10346,0,6177.468,1896,468884,0,0,0,247.30168,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35362000,4000000.0,1.0,15681.319,0.0,10708,0,6124.8755,1991,492760,0,0,0,247.49373,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36376000,4000000.0,1.0,15628.486,0.0,11076,0,6171.315,2089,517398,0,0,0,247.67735,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37359000,4000000.0,1.0,15644.711,0.0,11434,0,6183.633,2184,541274,0,0,0,247.83607,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38359000,4000000.0,1.0,15526.946,0.0,11798,0,6248.503,2280,565404,0,0,0,247.9842,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39376000,4000000.0,1.0,15665.669,0.0,12165,0,6226.547,2378,590042,0,0,0,248.12532,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40360000,4000000.0,1.0,15514.486,0.0,12524,0,6254.7456,2474,613918,0,0,0,248.14793,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41359000,4000000.0,1.0,15735.061,0.0,12886,0,6132.47,2569,637794,0,0,0,248.26547,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42360000,4000000.0,1.0,15610.17,0.0,13250,0,6177.468,2665,661924,0,0,0,248.37674,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43366000,4000000.0,1.0,15639.361,0.0,13615,0,6124.8755,2760,685800,0,0,0,248.47826,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44362000,4000000.0,1.0,15270.46,0.0,13976,0,5924.152,2852,708914,0,0,0,248.56732,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45361000,4000000.0,1.0,15939.183,0.0,14338,0,6242.2734,2947,732790,0,0,0,248.65627,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46376000,4000000.0,1.0,15608.392,0.0,14702,0,6189.8105,3045,757428,0,0,0,248.74483,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47359000,4000000.0,1.0,15626.494,0.0,15064,0,6236.056,3140,781304,0,0,0,248.82294,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48360000,4000000.0,1.0,15468.595,0.0,15427,0,6307.0786,3239,806196,0,0,0,248.90274,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49359000,4000000.0,1.0,15591.816,0.0,15789,0,6248.503,3335,830326,0,0,0,248.97331,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
