timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
529000,0.004261061,0.0042610476,0.0037284356,4000,0,-0.007182605,0.01556248,-9.704897,4000,0
534000,-0.0015978928,-0.00026632153,0.002396847,5000,0,-0.027533319,-0.009576636,-9.739612,5000,0
538000,-0.0005326276,-0.0047936905,3.0488234e-09,4000,0,-0.020350715,-0.041898366,-9.779117,4000,0
542000,-0.00053263234,-0.0058589554,8.687342e-11,4000,0,-0.007182605,-0.02873025,-9.823412,4000,0
546000,-0.00452738,-0.0018642126,0.0026631528,4000,0,-0.02633622,0.027533496,-9.876081,4000,0
550000,-0.00452738,0.00346211,0.0029294698,4000,0,-0.02633622,0.051475517,-9.888055,4000,0
554000,-0.0039947433,0.001065261,0.00026631917,4000,0,0.0011971011,0.050278414,-9.889252,4000,0
558000,-0.0013315798,-0.0015978939,0.0023968478,4000,0,-0.0023942022,0.06823493,-9.873688,4000,0
562000,0.0026631583,0.0013315845,0.0039947433,4000,0,0.025139121,0.073023334,-9.849747,4000,0
566000,0.00053262874,0.003195793,0.0015978996,4000,0,0.05746084,0.056263912,-9.841368,4000,0
570000,-0.0021305284,0.002130528,0.0018642156,4000,0,0.023942016,0.04668711,-9.7719345,4000,0
574000,-0.0034621067,-0.001597897,0.002929481,4000,0,-0.015562311,0.014365381,-9.731234,4000,0
578000,-0.0037284235,-0.003994743,0.002663164,4000,0,-0.020350713,-0.037109964,-9.750386,4000,0
582000,0.00079894555,-0.0015978923,0.0031957969,4000,0,-0.020350713,-0.05985488,-9.785105,4000,0
586000,0.002396841,0.003195796,0.0015978991,4000,0,-0.023942016,-0.055066474,-9.852142,4000,0
590000,-0.0013315837,0.0034621097,-0.0010652604,4000,0,-0.016759416,-0.0011969279,-9.8509445,4000,0
594000,-0.0015978982,0.00079894846,-0.0013315793,4000,0,-0.0011971011,0.06584072,-9.773131,4000,0
598000,-0.00026631568,0.0013315805,-0.00053263287,4000,0,-0.0023942022,0.038307402,-9.745598,4000,0
602000,-0.00133158,-0.002130529,0.0026631618,4000,0,-0.0011971011,-0.025138952,-9.783907,4000,0
606000,-0.0029294791,-0.0034621092,0.006391587,4000,0,-0.010773908,-0.038307063,-9.765951,4000,0
610000,-0.0013315942,0.0021305336,0.0077231633,4000,0,-0.02274492,-0.035912856,-9.692927,4000,0
614000,0.0026631593,0.003195804,0.008255797,4000,0,-0.027533323,-0.019153448,-9.697714,4000,0
618000,0.0013315857,0.0013315768,0.008255801,4000,0,-0.020350715,0.014365382,-9.747993,4000,0
622000,-0.0045273704,-0.00026633206,0.007456854,4000,0,0.04070143,0.046687108,-9.707291,4000,0
626000,-0.007989481,-0.0018642221,0.0071905376,4000,0,0.067037664,0.0442929,-9.629479,4000,0
630000,-0.0047936942,0.0002663166,0.004527371,4000,0,0.016759414,0.033519,-9.677363,4000,0
634000,0.0013315756,0.0031957927,-0.0018642183,4000,0,-0.031124622,0.0323219,-9.807848,4000,0
638000,0.0015978918,0.0018642145,-0.0058589564,4000,0,-0.02873042,0.028730594,-9.812637,4000,0
642000,0.0010652576,-0.001331579,-0.0069242204,4000,0,0.019153617,0.053869713,-9.703699,4000,0
646000,0.003728423,-0.0021305361,-0.004261058,4000,0,0.067037664,0.051475514,-9.642649,4000,0
650000,0.003462109,-0.0005326376,0.00026631792,4000,0,0.077811554,0.027533492,-9.726444,4000,0
654000,0.002396845,-0.001597897,0.00026631472,4000,0,0.06105215,0.029927697,-9.854535,4000,0
658000,0.0007989488,-0.0021305291,-0.00026631748,4000,0,0.050278243,0.0059856763,-9.79827,4000,0
662000,0.0005326331,0.0010652649,-0.001065264,4000,0,0.05865795,-0.02873025,-9.740809,4000,0
666000,0.001597896,0.0029294782,-0.0053263223,4000,0,0.029927526,-0.04429256,-9.872493,4000,0
670000,-0.0031957896,0.0042610657,-0.00372842,4000,0,-0.049081136,-0.025138948,-9.90601,4000,0
674000,-0.0034621027,0.0031958001,0.002130531,4000,0,-0.07062895,0.028730594,-9.837774,4000,0
678000,0.00292948,-0.0021305257,0.001065264,4000,0,-0.05267244,0.050278414,-9.870098,4000,0
682000,0.0034621116,-0.0066579017,0.0005326281,4000,0,-0.037110135,0.055066817,-9.886856,4000,0
686000,-0.00079895405,-0.005326326,0.0029294698,4000,0,-0.01316811,0.051475514,-9.873688,4000,0
690000,-0.0058589582,-0.0013315857,0.002396835,4000,0,-0.035913024,0.031124797,-9.896433,4000,0
694000,-0.006391589,1.0790123e-09,0.0031957908,4000,0,-0.02513912,0.001197274,-9.920377,4000,0
698000,-0.0045273774,0.0021305361,0.005592635,4000,0,0.041898537,-0.045489665,-9.933542,4000,0
702000,-0.004793696,0.0039947373,0.0026631588,4000,0,0.038307235,-0.039504156,-9.878476,4000,0
706000,-0.00053263817,-0.0005326403,-0.0047936887,4000,0,-0.01316811,0.004788576,-9.836578,4000,0
710000,0.0029294733,-0.0031957994,-0.0061252704,4000,0,-0.021547817,-0.017956339,-9.876082,4000,0
714000,0.0023968476,0.00026631283,-0.0015978941,4000,0,0.019153617,-0.07182589,-9.88207,4000,0
718000,0.002396844,-0.0018642154,0.001597895,4000,0,0.05746084,-0.08020559,-9.877279,4000,0
722000,-0.0018642097,-0.0071905376,0.0010652575,4000,0,0.053869545,-0.04668677,-9.829395,4000,0
726000,-0.00639158,-0.0069242227,-0.0018642241,4000,0,0.038307235,0.013168281,-9.797075,4000,0
730000,-0.0053263223,-0.0047936896,-0.0013315829,4000,0,0.005985504,0.019153789,-9.896433,4000,0
734000,-0.0021305315,-0.0037284242,0.00053263543,4000,0,-0.023942016,-0.02513895,-9.884462,4000,0
742000,-0.0010652641,-0.0013315808,-0.00053263287,4000,0,0.0035913025,0.016759584,-9.725247,4000,0
746000,-0.0029294768,0.00026631606,-0.0018642143,4000,0,0.01436521,-0.038307067,-9.697714,4000,0
750000,-0.0021305275,0.0029294787,-0.00053263496,4000,0,0.0011971015,-0.04668677,-9.731234,4000,0
754000,0.00026631964,0.0034621116,0.002929475,4000,0,-0.017956512,0.010774079,-9.779117,4000,0
758000,3.4752898e-09,0.000532632,0.0034621095,4000,0,0.0035913028,0.06105232,-9.787498,4000,0
762000,0.0018642126,0.0007989505,0.002663161,4000,0,0.025139121,0.056263912,-9.886856,4000,0
766000,0.0031957908,0.0031957962,0.0007989497,4000,0,0.04668694,0.022745093,-9.897632,4000,0
770000,0.0026631583,-0.0010652606,-0.0031957978,4000,0,0.05267244,0.015562482,-9.762358,4000,0
774000,0.0031957903,-0.003994743,-0.0031957964,4000,0,0.0047884034,0.016759582,-9.690533,4000,0
778000,0.0023968413,-0.0010652692,0.0018642149,4000,0,-0.035913028,0.021547986,-9.719263,4000,0
782000,0.0010652626,-3.6864587e-09,0.0053263227,4000,0,-0.02633622,0.009576978,-9.767147,4000,0
786000,-0.0010652605,-0.0023968492,0.0058589545,4000,0,-0.025139121,-0.021547647,-9.797075,4000,0
790000,-0.0031957868,-0.005326327,0.0042610583,4000,0,-0.043095633,-0.013167939,-9.801862,4000,0
794000,-0.0042610588,-0.0039947443,0.00319579,4000,0,-0.04548984,-0.017956344,-9.752781,4000,0
798000,-0.0037284286,-0.00266316,0.003994741,4000,0,-0.035913028,-0.05386937,-9.731234,4000,0
802000,-0.0023968427,-0.0023968471,0.0010652655,4000,0,-0.01316811,-0.04070126,-9.804258,4000,0
806000,-0.0034621079,-0.00026631926,-0.0023968478,4000,0,0.0047884043,0.022745091,-9.856928,4000,0
810000,-0.005060007,-0.0013315798,-0.0026631604,4000,0,-0.011971008,0.037110306,-9.800665,4000,0
814000,-0.006391587,-0.0015978978,-0.0039947424,4000,0,-0.023942016,-0.0119708385,-9.745598,4000,0
818000,-0.0042610564,-0.00079895573,-0.006125272,4000,0,-0.008379708,-0.0023940303,-9.810242,4000,0
822000,0.0021305282,-0.0015979122,-0.007723165,4000,0,-0.0047884043,0.0395045,-9.872493,4000,0
826000,0.004261056,-0.002396851,-0.0066579026,4000,0,-0.025139121,0.017956687,-9.781511,4000,0
830000,0.0039947303,-0.005592645,-0.0013315855,4000,0,0.0011971015,-0.026336052,-9.677362,4000,0
834000,0.004793683,-0.0069242236,0.002130529,4000,0,0.020350715,-0.025138952,-9.661802,4000,0
838000,0.0034621118,-0.005858954,0.000798947,4000,0,-0.02274492,0.02513929,-9.7001095,4000,0
842000,-2.6714813e-09,-0.005592641,0.0021305226,4000,0,-0.021547817,0.029927697,-9.77433,4000,0
846000,-0.0007989583,-0.00079894916,0.005592638,4000,0,0.020350715,-0.037109964,-9.842566,4000,0
850000,0.0021305226,0.0029294824,0.0037284258,4000,0,0.051475342,-0.038307063,-9.885658,4000,0
854000,0.000532635,-0.00026631725,0.0023968443,4000,0,0.062249243,0.04668711,-9.836577,4000,0
858000,-0.005060004,-0.002929482,0.003462109,4000,0,0.038307235,0.086191446,-9.777922,4000,0
865000,-0.0077231647,-0.0034621146,0.0021305273,7000,0,-0.01556231,0.06823492,-9.77313,7000,0
869000,-0.0053263223,-0.0037284219,0.002396851,4000,0,-0.04548984,0.023942186,-9.750386,4000,0
873000,-0.0023968455,-0.0015978963,0.0013315805,4000,0,-0.035913024,-0.032321554,-9.803061,4000,0
877000,-0.0034621106,0.0023968434,-3.7171537e-09,4000,0,-0.02873042,-0.058657773,-9.926363,4000,0
881000,-0.00399474,0.0045273784,0.0029294756,4000,0,-0.015562311,-0.05626357,-9.976641,4000,0
885000,-0.00026631975,0.0053263237,0.0010652579,4000,0,0.0011971011,-0.03471575,-9.9383335,4000,0
889000,0.004793685,0.002130531,-0.0023968536,4000,0,-0.016759416,-0.023941847,-9.844959,4000,0
893000,0.0055926368,-0.002663164,-0.0010652727,4000,0,-0.043095633,1.7074046e-07,-9.782707,4000,0
